part_id,part_name,category,kid_friendly_name,what_it_does,skill_level,voltage,usual_qty,buy_search_term,compatible_with,example_projects,common_mistake,safety_note,online_search_robu,online_search_robocraze,online_search_amazon_in,local_store_search_term
CTRL-001,Arduino Uno R3,Controllers,The robot's brain,Reads sensors and controls outputs,Beginner,5V,1,Arduino Uno R3 compatible board,Most 5V Arduino modules,Obstacle Robot; Plant Watering,Powering motors directly,Use regulated power,https://robu.in/?s=Arduino+Uno+R3+compatible+board&post_type=product,https://robocraze.com/search?q=Arduino+Uno+R3+compatible+board,https://www.amazon.in/s?k=Arduino+Uno+R3+compatible+board,Arduino Uno R3 compatible board
CTRL-002,Arduino Nano,Controllers,A tiny Arduino brain,Arduino control in a compact board,Beginner,5V,1,Arduino Nano ATmega328P,Most 5V Arduino modules,Mini Robot; Sensor Station,Buying unsoldered headers,Avoid shorts,https://robu.in/?s=Arduino+Nano+ATmega328P&post_type=product,https://robocraze.com/search?q=Arduino+Nano+ATmega328P,https://www.amazon.in/s?k=Arduino+Nano+ATmega328P,Arduino Nano ATmega328P
CTRL-003,ESP32 Dev Board,Controllers,A brain with Wi-Fi,Controls electronics with Wi-Fi and Bluetooth,Intermediate,3.3V logic,1,ESP32 DevKit V1,3.3V modules,Wi-Fi Robot; IoT Monitor,Applying 5V to GPIO,GPIO generally not 5V tolerant,https://robu.in/?s=ESP32+DevKit+V1&post_type=product,https://robocraze.com/search?q=ESP32+DevKit+V1,https://www.amazon.in/s?k=ESP32+DevKit+V1,ESP32 DevKit V1
CTRL-004,BBC micro:bit V2,Controllers,A kid-friendly brain,Combines coding with built-in sensors and LEDs,Beginner,3V,1,BBC microbit V2,micro:bit accessories,Mini Rover; Reaction Game,Connecting motors directly,Use a motor driver,https://robu.in/?s=BBC+microbit+V2&post_type=product,https://robocraze.com/search?q=BBC+microbit+V2,https://www.amazon.in/s?k=BBC+microbit+V2,BBC microbit V2
SNS-001,HC-SR04 Ultrasonic Sensor,Sensors,Robot distance eyes,Measures distance using sound,Beginner,5V,1,HC-SR04 ultrasonic distance sensor,Arduino; ESP32 with adaptation,Obstacle Robot; Parking Sensor,Mixing Trigger and Echo,Keep dry,https://robu.in/?s=HC-SR04+ultrasonic+distance+sensor&post_type=product,https://robocraze.com/search?q=HC-SR04+ultrasonic+distance+sensor,https://www.amazon.in/s?k=HC-SR04+ultrasonic+distance+sensor,HC-SR04 ultrasonic distance sensor
SNS-002,IR Obstacle Sensor,Sensors,Nearby-object detector,Detects reflected infrared light,Beginner,3.3-5V,1,IR obstacle avoidance sensor module,Arduino; ESP32,Obstacle Robot; Counter,Expecting precise distance,Sunlight can affect readings,https://robu.in/?s=IR+obstacle+avoidance+sensor+module&post_type=product,https://robocraze.com/search?q=IR+obstacle+avoidance+sensor+module,https://www.amazon.in/s?k=IR+obstacle+avoidance+sensor+module,IR obstacle avoidance sensor module
SNS-003,IR Line Sensor,Sensors,Helps a robot see a line,Detects light/dark floor reflectivity,Beginner,3.3-5V,2,IR line tracking sensor module,Arduino; ESP32,Line Follower,Mounting too far from floor,Test before running,https://robu.in/?s=IR+line+tracking+sensor+module&post_type=product,https://robocraze.com/search?q=IR+line+tracking+sensor+module,https://www.amazon.in/s?k=IR+line+tracking+sensor+module,IR line tracking sensor module
SNS-004,LDR Photoresistor,Sensors,Notices light and darkness,Changes resistance with light,Beginner,Passive,1,5mm LDR photoresistor,Arduino analog; ESP32 ADC,Night Light; Light Meter,Forgetting divider resistor,Low risk,https://robu.in/?s=5mm+LDR+photoresistor&post_type=product,https://robocraze.com/search?q=5mm+LDR+photoresistor,https://www.amazon.in/s?k=5mm+LDR+photoresistor,5mm LDR photoresistor
SNS-005,DHT11 Module,Sensors,Temperature and humidity sensor,Measures basic room conditions,Beginner,3.3-5V,1,DHT11 temperature humidity module,Arduino; ESP32,Weather Station,Reading too frequently,Keep dry,https://robu.in/?s=DHT11+temperature+humidity+module&post_type=product,https://robocraze.com/search?q=DHT11+temperature+humidity+module,https://www.amazon.in/s?k=DHT11+temperature+humidity+module,DHT11 temperature humidity module
SNS-006,HC-SR501 PIR,Sensors,People-motion detector,Detects infrared changes from movement,Beginner,5V typical,1,HC-SR501 PIR motion sensor,Arduino; ESP32,Motion Alarm; Auto Light,Expecting stationary detection,Not security-grade,https://robu.in/?s=HC-SR501+PIR+motion+sensor&post_type=product,https://robocraze.com/search?q=HC-SR501+PIR+motion+sensor,https://www.amazon.in/s?k=HC-SR501+PIR+motion+sensor,HC-SR501 PIR motion sensor
SNS-007,Capacitive Soil Moisture Sensor,Sensors,Checks if soil is wet,Measures soil moisture capacitively,Beginner,3.3-5V,1,capacitive soil moisture sensor v1.2,Arduino; ESP32,Plant Watering,Submerging electronics,Insert sensing portion only,https://robu.in/?s=capacitive+soil+moisture+sensor+v1.2&post_type=product,https://robocraze.com/search?q=capacitive+soil+moisture+sensor+v1.2,https://www.amazon.in/s?k=capacitive+soil+moisture+sensor+v1.2,capacitive soil moisture sensor v1.2
SNS-008,Sound Sensor Module,Sensors,Notices claps,Detects sound level,Beginner,3.3-5V,1,microphone sound sensor module,Arduino; ESP32,Clap Light,Expecting speech recognition,Avoid loud sounds near ears,https://robu.in/?s=microphone+sound+sensor+module&post_type=product,https://robocraze.com/search?q=microphone+sound+sensor+module,https://www.amazon.in/s?k=microphone+sound+sensor+module,microphone sound sensor module
SNS-009,MPU6050 IMU,Sensors,Feels tilt and rotation,Measures acceleration and rotation,Intermediate,3.3V chip,1,MPU6050 GY-521,Arduino; ESP32,Gesture Controller,Skipping calibration,Mount securely,https://robu.in/?s=MPU6050+GY-521&post_type=product,https://robocraze.com/search?q=MPU6050+GY-521,https://www.amazon.in/s?k=MPU6050+GY-521,MPU6050 GY-521
MOT-001,BO Geared DC Motor,Motors & Motion,Turns robot wheels,Converts electricity to geared rotation,Beginner,3-6V,2,BO motor 6V 200 RPM dual shaft,L298N; TB6612FNG,Robot Car; Line Follower,Connecting directly to Arduino,Keep fingers and hair clear,https://robu.in/?s=BO+motor+6V+200+RPM+dual+shaft&post_type=product,https://robocraze.com/search?q=BO+motor+6V+200+RPM+dual+shaft,https://www.amazon.in/s?k=BO+motor+6V+200+RPM+dual+shaft,BO motor 6V 200 RPM dual shaft
MOT-002,TT Geared DC Motor,Motors & Motion,Yellow robot-car motor,Provides geared wheel movement,Beginner,3-6V,2,TT gear motor 6V 200 RPM,Motor drivers; TT wheels,Robot Car,Mismatched wheel shaft,Keep moving parts clear,https://robu.in/?s=TT+gear+motor+6V+200+RPM&post_type=product,https://robocraze.com/search?q=TT+gear+motor+6V+200+RPM,https://www.amazon.in/s?k=TT+gear+motor+6V+200+RPM,TT gear motor 6V 200 RPM
MOT-003,SG90 Micro Servo,Motors & Motion,Moves to a chosen angle,Positions sensors or mechanisms,Beginner,4.8-6V,1,SG90 9g micro servo,Arduino; ESP32 PWM,Scanning Sensor; Robot Arm,Powering many from controller,Do not force shaft,https://robu.in/?s=SG90+9g+micro+servo&post_type=product,https://robocraze.com/search?q=SG90+9g+micro+servo,https://www.amazon.in/s?k=SG90+9g+micro+servo,SG90 9g micro servo
